# Polish name -> USDA FoodData Central fdcId mapping.
#
# Hand-curated, script-assisted. This file decides BOTH which USDA entries end up in the
# bundled nutrition subset AND what they are called in the Polish UI. `scripts/build-nutrition.mjs`
# joins it against the FDC Foundation + SR Legacy downloads and writes src/lib/nutrition/ingredients.json.
#
# Tab-separated, four columns; `#` starts a comment, blank lines are ignored.
#
#   fdcId  name (Polish)  aliases (| separated, may be empty)  state (raw|cooked, default raw)
#
# `state` follows the USDA entry, not the shopping basket: "cooked" means the per-100 g values
# describe the food after cooking. 300 g of raw rice is not 300 g of cooked rice, so both exist
# as separate rows wherever the difference matters.
#
# Keep rows sorted inside their section and never reuse an fdcId: it is the ingredient's identity
# (`usda:<fdcId>`) and planned meals reference it forever.

## Nabial i jaja / Dairy and eggs

169977	Kapusta czerwona	kapusta czerwona	raw
169978	Kapusta czerwona gotowana	kapusta czerwona gotowana	cooked
170388	Kapusta włoska	kapusta wloska|savoy	raw
170389	Kapusta włoska gotowana	kapusta wloska gotowana	cooked
169979	Kapusta pekińska	kapusta pekinska	raw
170390	Kapusta pak choi	pak choi|bok choy	raw
169279	Kapusta kiszona	kapusta kiszona|kiszonka	raw
170392	Kimchi	kimchi	raw
170393	Marchew	marchewka|marchew	raw
170394	Marchew gotowana	marchewka gotowana	cooked
168568	Marchewka mini	marchewka baby|mini marchewka	raw
170500	Marchew suszona	marchew suszona	raw
170491	Sok marchwiowy	sok z marchwi	raw
169986	Kalafior	kalafior	raw
170397	Kalafior gotowany	kalafior gotowany	cooked
170398	Kalafior mrożony	kalafior mrozony	raw
170400	Seler korzeniowy	seler|seler korzeniowy	raw
169987	Seler korzeniowy gotowany	seler gotowany	cooked
169988	Seler naciowy	seler naciowy|selery	raw
169989	Seler naciowy gotowany	seler naciowy gotowany	cooked
169991	Boćwina	bocwina|burak lisciowy	raw
170401	Boćwina gotowana	bocwina gotowana	cooked
169992	Cykoria liście	cykoria zielona	raw
170404	Cykoria	cykoria|endywia belgijska	raw
169993	Korzeń cykorii	korzen cykorii	raw
169994	Szczypiorek	szczypiorek	raw
169997	Kolendra świeża	kolendra|kolendra swieza	raw
169998	Kukurydza	kukurydza|kukurydza slodka	raw
169999	Kukurydza gotowana	kukurydza gotowana	cooked
169214	Kukurydza konserwowa	kukurydza z puszki	cooked
168409	Ogórek	ogorek|ogorek zielony	raw
169225	Ogórek obrany	ogorek obrany	raw
169379	Ogórki kiszone	ogorki kiszone|ogorek kiszony	raw
168558	Ogórki konserwowe	ogorki konserwowe|korniszony	raw
169226	Mniszek lekarski liście	mniszek|mlecz	raw
170076	Szczaw	szczaw	raw
170077	Szczaw gotowany	szczaw gotowany	cooked
168411	Edamame	edamame|zielona soja	cooked
169385	Koper włoski	koper wloski|fenkul	raw
169230	Czosnek	czosnek	raw
169231	Imbir	imbir|korzen imbiru	raw
169236	Topinambur	topinambur|slonecznik bulwiasty	raw
168421	Jarmuż	jarmuz	raw
169238	Jarmuż gotowany	jarmuz gotowany	cooked
168424	Kalarepa	kalarepa	raw
168425	Kalarepa gotowana	kalarepa gotowana	cooked
169246	Por	por	raw
168426	Por gotowany	por gotowany	cooked
168429	Sałata masłowa	salata maslowa	raw
169247	Sałata rzymska	salata rzymska	raw
169248	Sałata lodowa	salata lodowa|salata	raw
169249	Sałata zielona liściasta	salata lisciasta|salata zielona	raw
168431	Sałata czerwona liściasta	salata czerwona	raw
168564	Radicchio	radicchio|cykoria salatowa	raw
168412	Endywia	endywia	raw
169219	Roszponka	roszponka	raw
170068	Rukiew wodna	rukiew wodna	raw
169957	Kiełki fasoli mung	kielki fasoli|kielki mung	raw
168427	Kiełki soczewicy	kielki soczewicy	raw
170095	Kiełki rzodkiewki	kielki rzodkiewki	raw
169284	Kiełki soi	kielki soi	raw
169251	Pieczarki	pieczarki|pieczarka	raw
169252	Pieczarki gotowane	pieczarki gotowane	cooked
169253	Pieczarki smażone	pieczarki smazone	cooked
168434	Pieczarki brązowe	pieczarki brazowe|cremini	raw
169255	Portobello	portobello	raw
169243	Portobello grillowane	portobello grillowane	cooked
168580	Boczniaki	boczniak|boczniaki	raw
169242	Shiitake	shiitake	raw
168437	Shiitake gotowane	shiitake gotowane	cooked
168436	Shiitake suszone	shiitake suszone	raw
168422	Kurki	kurki|pieprznik jadalny	raw
168423	Smardze	smardz|smardze	raw
169382	Enoki	enoki	raw
169403	Maitake	maitake	raw
169254	Pieczarki konserwowe	pieczarki z puszki	cooked
169256	Liście gorczycy	liscie gorczycy	raw
169260	Okra	okra|ketmia jadalna	raw
169261	Okra gotowana	okra gotowana	cooked
170000	Cebula	cebula	raw
170001	Cebula gotowana	cebula gotowana	cooked
170004	Cebula smażona	cebula smazona|cebulka smazona	cooked
790577	Cebula czerwona	cebula czerwona	raw
1104962	Cebula biała	cebula biala	raw
170005	Cebula dymka	dymka|cebulka dymka|szczypior	raw
170002	Cebula suszona	cebula suszona|cebula w platkach	raw
170499	Szalotka	szalotka	raw
170415	Krążki cebulowe	krazki cebulowe	cooked
170416	Natka pietruszki	natka|natka pietruszki|pietruszka nac	raw
170417	Pasternak	pasternak	raw
170009	Pasternak gotowany	pasternak gotowany	cooked
170419	Groszek zielony	groszek|groszek zielony	raw
170420	Groszek zielony gotowany	groszek gotowany	cooked
170017	Groszek zielony mrożony	groszek mrozony	cooked
170013	Groszek konserwowy	groszek z puszki	cooked
170010	Groszek cukrowy	groszek cukrowy	raw
